lyrics,year,lable,name
"[Intro]
...we came in?

[Verse: Roger Waters]
So ya thought ya might like to go to the show
To feel the warm thrill of confusion, that space cadet glow
Tell me, is something eluding you, sunshine?
Is this not what you expected to see?
If you wanna find out what's behind these cold eyes
You'll just have to claw your way through this disguise

[Bridge: Roger Waters]
Lights!
Roll the sound effects!
Action!
Drop it, drop it on 'em
Drop it, drop it on them!
*Shots*

[Outro]
*Baby Crying*",1979,0,Pink Floyd
"[Intro]
*Baby Crying*

[Verse 1: David Gilmour]
Momma loves her baby
And Daddy loves you too
And the sea may look warm to you, babe
And the sky may look blue
Ooh-ooh-ooh-ooh, babe
Ooh-ooh-ooh, baby blue
Ooh-ooh-ooh-ooh-ooh-ooh, babe

[Verse 2: Roger Waters]
If you should go skating
On the thin ice of modern life
Dragging behind you, the silent reproach
Of a million tear stained eyes
Don't be surprised when a crack in the ice
Appears under your feet
You'll slip out of your depth and out of your mind
With your fear flowing out behind you
As you claw the thin ice",1979,0,Pink Floyd
"[Verse: Roger Waters]
Daddy's flown across the ocean
Leaving just a memory
A snapshot in the family album
Daddy, what else did you leave for me?
Daddy, what'd ya leave behind for me?
All in all, it was just a brick in the wall
All in all, it was all just bricks in the wall

[Outro: Roger Waters]
Hey!
*Children playing*",1979,0,Pink Floyd
"[Intro: Roger Waters]
You! Yes, you! Stand still, laddie!

[Verse 1: Roger Waters]
When we grew up and went to school
There were certain teachers who
Would hurt the children in any way they could (Oof!)
By pouring their derision upon anything we did
Exposing every weakness
However carefully hidden by the kid

[Verse 2: Roger Waters]
But in the town, it was well known, when they got home at night
Their fat and psychopathic wives would thrash them within inches of their lives",1979,0,Pink Floyd
"[Intro]

[Verse: Roger Waters & David Gilmour]
We don't need no education
We don't need no thought control
No dark sarcasm in the classroom
Teacher, leave them kids alone
Hey! Teacher! Leave them kids alone!

[Chorus: Roger Waters & David Gilmour]
All in all, it's just another brick in the wall
All in all, you're just another brick in the wall

[Verse: Islington Green School Students]
We don't need no education
We don't need no thought control
No dark sarcasm in the classroom
Teachers, leave them kids alone
Hey! Teacher! Leave us kids alone!

[Chorus: Islington Green School Students]
All in all, you're just another brick in the wall
All in all, you're just another brick in the wall

[Guitar Solo]

[Outro: Roger Waters]
Wrong, do it again! (*Children playing*)
Wrong, do it again!
If you don't eat your meat, you can't have any pudding!
(Wrong, do it again!)
How can you have any pudding if you don't eat your meat?
(Wrong, do it again!)
You! Yes! You behind the bike sheds! Stand still, laddie!
(If you don't eat your meat, you can't have any pudding!
How can you have any pudding if you don't eat your meat?)
(You! Yes! You behind the bike sheds! Stand still, laddie!)
*Children playing*
*Phone beeping sound*",1979,0,Pink Floyd
"[Verse 1: Roger Waters]
Mother, do you think they'll drop the bomb?
Mother, do you think they'll like this song?
Mother, do you think they'll try to break my balls?
Ooh-ah, Mother, should I build the wall?

[Verse 2: Roger Waters]
Mother, should I run for president?
Mother, should I trust the government?
Mother, will they put me in the firing line?
Ooh-ah, is it just a waste of time?

[Chorus: David Gilmour]
Hush now, baby, baby, don't you cry
Mamma's gonna make all of your nightmares come true
Mamma's gonna put all of her fears into you
Mamma's gonna keep you right here, under her wing
She won't let you fly, but she might let you sing
Mamma's gonna keep baby cosy and warm

[Post-Chorus]
Ooh babe, ooh babe, ooh babe
Of course, Mamma's gonna help build the wall

[Guitar Solo]

[Verse 3: Roger Waters]
Mother, do you think she's good enough... For me?
Mother, do you think she's dangerous... To me?
Mother, will she tear your little boy apart?
Ooh-ah, Mother, will she break my heart?

[Chorus: David Gilmour]
Hush now, baby, baby, don't you cry
Mamma's gonna check out all your girlfriends for you
Mamma won't let anyone dirty get through
Mamma's gonna wait up until you get in
Mamma will always find out where you've been
Mamma's gonna keep baby healthy and clean

[Post-Chorus]
Ooh babe, ooh babe, ooh babe
You'll always be ""baby"" to me

[Outro: Roger Waters]
Mother, did it need to be so high?",1979,0,Pink Floyd
"[Spoken Intro: Harry Waters]
Look, Mummy!
There's an airplane up in the sky

[Verse 1: David Gilmour]
Ooh-ooh, ooh, ooh, ooh
Ooh-ooh, ooh, ooh, ooh
Ooh-ooh, ooh, ooh, ooh
Did-did-did-did you see the frightened ones?
Did-did-did-did you hear the falling bombs?
Did-did-did-did you ever wonder why we had to run for shelter when the promise of a brave new world unfurled beneath the clear blue sky?

[Verse 2: David Gilmour]
Ooh-ooh, ooh, ooh, ooh
Ooh-ooh, ooh, ooh, ooh
Did-did-did-did you see the frightened ones?
Did-did-did-did you hear the falling bombs?
The flames are all long gone
But the pain lingers on

[Outro: David Gilmour]
Goodbye, blue sky
Goodbye, blue sky
Goodbye
Goodbye",1979,0,Pink Floyd
"[Intro]

[Verse: Roger Waters]
What shall we use to fill the empty spaces
Where we used to talk?
How shall I fill the final places?
How should I complete the wall?",1979,0,Pink Floyd
"[Verse 1: David Gilmour]
(Ah) I am just a new boy
A stranger in this town
Where are all the good times?
Who's gonna show this stranger around?

[Chorus: David Gilmour & Roger Waters]
Ooh, I need a dirty woman
Ooh, I need a dirty girl

[Verse 2: David Gilmour]
Will some woman in this desert land
Make me feel like a real man?
Take this rock-and-roll refugee
Ooh, baby, set me free

[Chorus: David Gilmour & Roger Waters]
Ooh, I need a dirty woman
Ooh, I need a dirty girl

[Guitar Solo]

[Chorus: David Gilmour & Roger Waters]
Ooh, I need a dirty woman
Ooh, I need a dirty girl

[Outro]
*Phone beeping*
""Hello?""
""Yes, a collect call for Mrs. Floyd from Mr. Floyd. Will you accept the charge from the United States?""
*Phone clicks*
""Oh, he hung up. That's your residence, right? Well, I wonder why he hung up. Is there supposed to be someone out there besides your wife there to answer?""
*Phone redials and beeps again*
""Hello?""
""This is the United States calling. Are we reaching...""
*Phone clicks*
""See, he keeps hanging up, and it's a man answering.""",1979,0,Pink Floyd
"[Intro]
""Oh my God! What a fabulous room! Are all these your guitars?""
(""I'm sorry sir, I didn't mean to startle you"")
""God! This place is bigger than our apartment!""
(""Let me know when you're entering a room"")
(""Yes, sir"")
""Um, can I get a drink of water?""
(""I was wondering about"")
""You want some, huh?""
(""Yes"")
""Oh wow! Hey, look at this tub! Wanna take a bath?""
(""I'll have to find out from Mrs. Bancroft what time she wants to meet us, for her main"")
""What are you watching?""
(""If you'll just let me know as soon as you can, Mrs. Bancroft... Mrs. Bancroft"")
""Hello?""
(""I don't understand"")
""Are you feeling okay?""

[Verse 1: Roger Waters]
Day after day, the love turns gray
Like the skin of the dying man
And night after night, we pretend it's all right
But I have grown older, and you have grown colder
And nothing is very much fun any more
And I can feel one of my turns coming on
I feel cold as a razor blade, tight as a tourniquet
Dry as a funeral drum

[Verse 2: Roger Waters]
Run to the bedroom, in the suitcase on the left
You'll find my favourite axe
Don't look so frightened, this is just a passing phase
One of my bad days
Would you like to watch TV? Or get between the sheets?
Or contemplate the silent freeway?
Would you like something to eat? Would you like to learn to fly?
Would ya? Would you like to see me try?
Ah, no!

[Outro: Roger Waters]
Would you like to call the cops?
Do you think it's time I stopped?
Why are you running away?",1979,0,Pink Floyd
